一级标签,二级标签,标签定义,用户问题,标准回答,回答来源,法规依据,依据编码,关键词,同义词,风险等级,适用场景,备注
气费管理,缴费方式,,费用可以用网上吗？,"关于""费用可以用网上吗？""，衡阳天然气支持微信公众号、微信生活缴费、支付宝、银行代扣、营业厅柜台等多种缴费方式。物联网表用户推荐线上缴费最便捷。IC卡表用户可办理招行联名卡实现线上充值。具体拨打0734-8677777咨询。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,用气常识,,怎么用手机银行缴费？,"关于""怎么用手机银行缴费？""，衡阳天然气支持微信公众号、微信生活缴费、支付宝、银行代扣、营业厅柜台等多种缴费方式。物联网表用户推荐线上缴费最便捷。IC卡表用户可办理招行联名卡实现线上充值。具体拨打0734-8677777咨询。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,用气常识,,手机银行缴费安全吗？,"关于""手机银行缴费安全吗？""，衡阳天然气支持微信公众号、微信生活缴费、支付宝、银行代扣、营业厅柜台等多种缴费方式。物联网表用户推荐线上缴费最便捷。IC卡表用户可办理招行联名卡实现线上充值。具体拨打0734-8677777咨询。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
气费管理,缴费方式,,手机银行缴费有手续费吗？,"关于""手机银行缴费有手续费吗？""，衡阳天然气支持微信公众号、微信生活缴费、支付宝、银行代扣、营业厅柜台等多种缴费方式。物联网表用户推荐线上缴费最便捷。IC卡表用户可办理招行联名卡实现线上充值。具体拨打0734-8677777咨询。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
气费管理,缴费方式,,费用最多能银行缴费多少？,"关于""费用最多能银行缴费多少？""，衡阳天然气支持微信公众号、微信生活缴费、支付宝、银行代扣、营业厅柜台等多种缴费方式。物联网表用户推荐线上缴费最便捷。IC卡表用户可办理招行联名卡实现线上充值。具体拨打0734-8677777咨询。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
气费管理,缴费方式,,费用最多能缴费多少？,"关于""费用最多能缴费多少？""，衡阳天然气支持微信公众号、微信生活缴费、支付宝、银行代扣、营业厅柜台等多种缴费方式。物联网表用户推荐线上缴费最便捷。IC卡表用户可办理招行联名卡实现线上充值。具体拨打0734-8677777咨询。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
气费管理,缴费方式,,IC卡丢了怎么办？,IC卡遗失补办流程：1.户主带身份证原件到任一营业厅；2.柜台办理挂失；3.缴纳IC卡工本费（约10-20元）；4.领取新卡写入原账户信息；5.新卡插入燃气表完成数据同步。挂失后原卡作废。妥善保管IC卡远离磁场环境避免弯折刮擦。,衡阳市天然气有限责任公司,衡阳天然气公司IC卡管理规定,,,,低,,
气费管理,发票服务,,缴费后发票怎么开？,微信公众号缴费成功后可直接在缴费结果页面点击电子发票实时开具。也可通过公众号-掌上营业厅-电子发票选择账单期次下载PDF格式电子发票。如需纸质发票可到营业厅柜台打印。电子发票与纸质发票具有同等法律效力可作为财务入账依据。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第二十二条,,,,低,,
安全用气,用气常识,,微信上缴费安全吗？,安全。公众号缴费经过HTTPS加密和微信支付双重安全保障。缴费成功后会收到微信支付凭证和燃气公司到账通知。建议开启微信支付指纹/面容验证。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
系统操作,账号管理,,可以绑定信用卡缴燃气费吗？,微信支付和支付宝支持绑定信用卡缴费。银行代扣暂不支持信用卡只支持储蓄卡。具体以各银行的信用卡自动扣款政策为准。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
政策咨询,地方政策,,境外能交衡阳燃气费吗？,可以。通过微信公众号或支付宝可通过绑定的国内银行卡或微信余额缴费，境外网络正常即可操作。建议提前预存避免忘记时差耽误缴费。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
气费管理,缴费方式,,缴费后能否查到别人是否盗用我的账户？,微信公众号-用量查询可查看每日详细用量。如果出现非本人在家时的异常用量可拨打客服热线要求人工核实用量明细。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
气费管理,缴费方式,,设置了银行代扣但没扣款是什么原因？,可能：1.银行卡余额不足；2.银行卡已过期或挂失；3.代扣协议过期需续签；4.银行系统延迟。请确认银行卡状态正常并联系客服或银行核查。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,用气常识,,缴费服务-缴费方式-常见问题1：我想要了解缴费服务中关于缴费方式方面的详细信息，请问有什么需要注意的？,关于缴费服务缴费方式方面的问题：建议您联系衡阳天然气客服热线0734-8677777获取最准确的信息，或关注微信公众号衡阳天然气在线查询相关服务指南。衡阳天然气公司将为您提供专业的解答和服务。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,用气常识,,缴费服务-缴费方式-常见问题2：我想要了解缴费服务中关于缴费方式方面的详细信息，请问有什么需要注意的？,关于缴费服务缴费方式方面的问题：建议您联系衡阳天然气客服热线0734-8677777获取最准确的信息，或关注微信公众号衡阳天然气在线查询相关服务指南。衡阳天然气公司将为您提供专业的解答和服务。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,用气常识,,缴费服务-缴费方式-常见问题3：我想要了解缴费服务中关于缴费方式方面的详细信息，请问有什么需要注意的？,关于缴费服务缴费方式方面的问题：建议您联系衡阳天然气客服热线0734-8677777获取最准确的信息，或关注微信公众号衡阳天然气在线查询相关服务指南。衡阳天然气公司将为您提供专业的解答和服务。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
气费管理,缴费方式,,我想了解缴费服务的缴费方式费用怎么算,感谢您的咨询。关于缴费服务的缴费方式问题，衡阳天然气公司为您提供专业的解答和服务。建议通过以下方式获取准确信息：1.拨打24小时客服热线0734-8677777；2.关注微信公众号衡阳天然气在线查询；3.前往就近营业厅咨询。我们将竭诚为您服务。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第二十二条,,,,低,,
气费管理,缴费方式,,缴费服务的缴费方式能代办吗,感谢您的咨询。关于缴费服务的缴费方式问题，衡阳天然气公司为您提供专业的解答和服务。建议通过以下方式获取准确信息：1.拨打24小时客服热线0734-8677777；2.关注微信公众号衡阳天然气在线查询；3.前往就近营业厅咨询。我们将竭诚为您服务。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第二十二条,,,,低,,
气费管理,缴费方式,,求教缴费服务的缴费方式应该怎么处理,感谢您的咨询。关于缴费服务的缴费方式问题，衡阳天然气公司为您提供专业的解答和服务。建议通过以下方式获取准确信息：1.拨打24小时客服热线0734-8677777；2.关注微信公众号衡阳天然气在线查询；3.前往就近营业厅咨询。我们将竭诚为您服务。,国家级法规,《城镇燃气管理条例》第二十二条,,,,低,,
政策咨询,地方政策,,衡阳天然气支持哪些线上缴费平台？,衡阳天然气支持的线上缴费平台：微信公众号衡阳天然气（推荐功能最全支持缴费查询报修安检预约）；微信支付-生活缴费；支付宝-生活缴费；建设银行手机银行；翼支付；沃支付。其中微信公众号和支付宝支持开具电子发票。物联网表用户缴费后1-2分钟到账。,衡阳市天然气有限责任公司,衡阳天然气公司线上服务指南,,,,低,,
气费管理,缴费方式,,为什么物联网表充值后余额没变？,物联网表充值后余额未及时更新处理方法：1.长按表具红色功能键3-5秒表具主动联网刷新余额（推荐首选）；2.等待1-2小时物联网表每2小时自动联网同步一次；3.检查表具所在位置的手机信号NB-IoT物联网表依赖运营商网络地下室等信号弱区域可能导致通信延迟；4.以上方法均无效拨打客服热线0734-8677777请求人工核查。,衡阳市天然气有限责任公司,衡阳天然气公司物联网表使用指南,,,,中,,
气费管理,缴费方式,,可以用信用卡缴燃气费吗？,可以通过微信公众号或支付宝缴费时选择绑定的信用卡支付。但需注意：部分银行信用卡对生活缴费类交易不累计积分；银行代扣签约目前仅支持储蓄卡不支持信用卡；如使用第三方平台缴费以各平台的支付方式为准。建议同时保留储蓄卡备用。,衡阳市天然气有限责任公司,衡阳天然气公司缴费服务指南,,,,低,,
系统操作,功能查询,,缴费后发票在哪里查看和下载？,电子发票查看和下载步骤：进入微信公众号衡阳天然气-掌上营业厅-电子发票；选择需要开票的账单期次（支持过去12个月的账单）；填写发票抬头个人用户填姓名企业用户填单位名称和统一社会信用代码；点击生成电子发票系统自动生成PDF文件；可在线预览下载到手机或发送到电子邮箱。电子发票与纸质发票具有同等法律效力。当年发票须在次年3月31日前开具完毕。,衡阳市天然气有限责任公司,衡阳天然气公司线上服务指南,,,,低,,
气费管理,缴费方式,,银行代扣失败多久会通知？,银行代扣失败（因余额不足卡过期等原因）一般在扣款日后1-2个工作日内通过短信或微信公众号推送通知用户。通知后会给予补缴期限请在收到通知后尽快通过线上或营业厅补缴。连续两次代扣失败的建议检查银行卡状态或更换扣款账户。,衡阳市天然气有限责任公司,衡阳天然气公司缴费服务指南,,,,低,,
政策咨询,地方政策,,人在外地怎么帮父母缴衡阳燃气费？,可通过微信公众号绑定父母的燃气户号远程代缴。一个微信最多绑10个户号。缴费与是否在衡阳无关只要有网络即可。建议帮父母开通银行代扣更省心。,衡阳市天然气有限责任公司,衡阳天然气公司线上服务指南,,,,低,,
气费管理,缴费方式,,燃气费可以按月交吗？,衡阳天然气默认每两个月出一次账单。物联网表用户可以在微信公众号上随时查看每日用量并主动按月预存费用到账户余额。系统出账时自动从余额中按实际用量抵扣。所以实际上可以做到按月预存的效果。,衡阳市天然气有限责任公司,衡阳天然气公司缴费服务指南,,,,低,,
气费管理,缴费方式,,缴费收据找不到了能补打吗？,可以。通过微信公众号我的缴费记录可随时查看历史缴费记录并重新开具电子发票。如需纸质收据可携带身份证到任一营业厅柜台申请补打。建议养成保存电子发票的习惯。,衡阳市天然气有限责任公司,衡阳天然气公司服务指南,,,,低,,
安全用气,设施保护,,燃气表怎么查表？,"关于""燃气表怎么查表？""，请不要自行拆卸燃气表。如表具出现异常，可拨打客服热线0734-8677777报修，工作人员将携带检测设备上门处理。燃气表检定周期为10年，到期免费更换。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,设施保护,,燃气表怎么读表？,"关于""燃气表怎么读表？""，请不要自行拆卸燃气表。如表具出现异常，可拨打客服热线0734-8677777报修，工作人员将携带检测设备上门处理。燃气表检定周期为10年，到期免费更换。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,设施保护,,燃气表不显示怎么办？,"关于""燃气表不显示怎么办？""，请不要自行拆卸燃气表。如表具出现异常，可拨打客服热线0734-8677777报修，工作人员将携带检测设备上门处理。燃气表检定周期为10年，到期免费更换。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,设施保护,,燃气表没电了怎么办？,"关于""燃气表没电了怎么办？""，请不要自行拆卸燃气表。如表具出现异常，可拨打客服热线0734-8677777报修，工作人员将携带检测设备上门处理。燃气表检定周期为10年，到期免费更换。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,设施保护,,燃气表需要查表吗？,"关于""燃气表需要查表吗？""，请不要自行拆卸燃气表。如表具出现异常，可拨打客服热线0734-8677777报修，工作人员将携带检测设备上门处理。燃气表检定周期为10年，到期免费更换。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,设施保护,,燃气表需要读表吗？,"关于""燃气表需要读表吗？""，请不要自行拆卸燃气表。如表具出现异常，可拨打客服热线0734-8677777报修，工作人员将携带检测设备上门处理。燃气表检定周期为10年，到期免费更换。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
气费管理,缴费方式,,怎么知道不显示？,"关于""怎么知道不显示？""，请不要自行拆卸燃气表。如表具出现异常，可拨打客服热线0734-8677777报修，工作人员将携带检测设备上门处理。燃气表检定周期为10年，到期免费更换。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
气费管理,缴费方式,,怎么知道没电了？,"关于""怎么知道没电了？""，请不要自行拆卸燃气表。如表具出现异常，可拨打客服热线0734-8677777报修，工作人员将携带检测设备上门处理。燃气表检定周期为10年，到期免费更换。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
气费管理,缴费方式,,IC卡怎么充值？,"关于""IC卡怎么充值？""，请不要自行拆卸燃气表。如表具出现异常，可拨打客服热线0734-8677777报修，工作人员将携带检测设备上门处理。燃气表检定周期为10年，到期免费更换。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
气费管理,缴费方式,,IC卡怎么读取？,"关于""IC卡怎么读取？""，请不要自行拆卸燃气表。如表具出现异常，可拨打客服热线0734-8677777报修，工作人员将携带检测设备上门处理。燃气表检定周期为10年，到期免费更换。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,设施保护,,燃气表充不了值怎么办？,"关于""燃气表充不了值怎么办？""，请不要自行拆卸燃气表。如表具出现异常，可拨打客服热线0734-8677777报修，工作人员将携带检测设备上门处理。燃气表检定周期为10年，到期免费更换。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,设施保护,,燃气表卡坏了怎么办？,"关于""燃气表卡坏了怎么办？""，请不要自行拆卸燃气表。如表具出现异常，可拨打客服热线0734-8677777报修，工作人员将携带检测设备上门处理。燃气表检定周期为10年，到期免费更换。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
气费管理,缴费方式,,IC卡需要充值吗？,"关于""IC卡需要充值吗？""，请不要自行拆卸燃气表。如表具出现异常，可拨打客服热线0734-8677777报修，工作人员将携带检测设备上门处理。燃气表检定周期为10年，到期免费更换。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
气费管理,缴费方式,,IC卡需要读取吗？,"关于""IC卡需要读取吗？""，请不要自行拆卸燃气表。如表具出现异常，可拨打客服热线0734-8677777报修，工作人员将携带检测设备上门处理。燃气表检定周期为10年，到期免费更换。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
气费管理,缴费方式,,怎么知道充不了值？,"关于""怎么知道充不了值？""，请不要自行拆卸燃气表。如表具出现异常，可拨打客服热线0734-8677777报修，工作人员将携带检测设备上门处理。燃气表检定周期为10年，到期免费更换。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
上门服务,故障报修,,怎么知道卡坏了？,"关于""怎么知道卡坏了？""，请不要自行拆卸燃气表。如表具出现异常，可拨打客服热线0734-8677777报修，工作人员将携带检测设备上门处理。燃气表检定周期为10年，到期免费更换。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,设施保护,,燃气表的电池多久需要换一次？,一般每6-12个月更换一次（视使用频率和环境温度）。建议选用质量较好的碱性电池，每年定期更换。当屏幕显示电池低电量标志时请及时更换。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
气费管理,缴费方式,,IC卡插进去后显示的数字是什么意思？,IC卡插入后屏幕显示的一般是：剩余气量（单位立方米）或剩余金额（单位元）。数字闪烁说明气量低于预警值请尽快充值。数字不显示或乱码可能是卡损坏或卡槽故障。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,设施保护,,燃气表走得很慢是不是不正常？,燃气表走得过慢可能是表内计数器故障，建议申请计量检定。走得偏慢看似省钱但实际用量无法准确计量最终可能在检定周期结算时补缴差额。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
系统操作,账号管理,,退休金发在社保卡上可以绑定代扣吗？,需要确认社保卡是否开通了银行储蓄功能（金融账户功能）。已开通金融账户的社保卡可到燃气营业厅或发卡行办理代扣签约。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,设施保护,,家里的燃气表看着很旧了还能用吗？,燃气表检定周期为10年。如果在10年以内且运行正常可继续使用。超过10年的公司会安排轮换。发现表面严重锈蚀或屏幕显示异常的提前报修检测。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,用气常识,,缴费服务-表具相关-常见问题1：我想要了解缴费服务中关于表具相关方面的详细信息，请问有什么需要注意的？,关于缴费服务表具相关方面的问题：建议您联系衡阳天然气客服热线0734-8677777获取最准确的信息，或关注微信公众号衡阳天然气在线查询相关服务指南。衡阳天然气公司将为您提供专业的解答和服务。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,用气常识,,缴费服务-表具相关-常见问题2：我想要了解缴费服务中关于表具相关方面的详细信息，请问有什么需要注意的？,关于缴费服务表具相关方面的问题：建议您联系衡阳天然气客服热线0734-8677777获取最准确的信息，或关注微信公众号衡阳天然气在线查询相关服务指南。衡阳天然气公司将为您提供专业的解答和服务。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,用气常识,,缴费服务-表具相关-常见问题3：我想要了解缴费服务中关于表具相关方面的详细信息，请问有什么需要注意的？,关于缴费服务表具相关方面的问题：建议您联系衡阳天然气客服热线0734-8677777获取最准确的信息，或关注微信公众号衡阳天然气在线查询相关服务指南。衡阳天然气公司将为您提供专业的解答和服务。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
政策咨询,法律法规,,帮忙解答缴费服务的表具相关有什么规定,感谢您的咨询。关于缴费服务的表具相关问题，衡阳天然气公司为您提供专业的解答和服务。建议通过以下方式获取准确信息：1.拨打24小时客服热线0734-8677777；2.关注微信公众号衡阳天然气在线查询；3.前往就近营业厅咨询。我们将竭诚为您服务。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第二十二条,,,,低,,
气费管理,缴费方式,,想请教缴费服务的表具相关还能改吗,感谢您的咨询。关于缴费服务的表具相关问题，衡阳天然气公司为您提供专业的解答和服务。建议通过以下方式获取准确信息：1.拨打24小时客服热线0734-8677777；2.关注微信公众号衡阳天然气在线查询；3.前往就近营业厅咨询。我们将竭诚为您服务。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第二十二条,,,,低,,
气费管理,缴费方式,,缴费服务的表具相关是不是必要的,感谢您的咨询。关于缴费服务的表具相关问题，衡阳天然气公司为您提供专业的解答和服务。建议通过以下方式获取准确信息：1.拨打24小时客服热线0734-8677777；2.关注微信公众号衡阳天然气在线查询；3.前往就近营业厅咨询。我们将竭诚为您服务。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第二十二条,,,,低,,
系统操作,功能查询,,燃气表怎么看用了多少气？,燃气表读数方法（按表型）：1.物联网表按红色功能键屏幕循环显示剩余金额/累计用气量（立方米）/当前单价/电池电量/阀门状态；2.IC卡表插入IC卡屏幕显示剩余气量（立方米）；3.户外机械表表盘上黑色数字为整数位（立方米）红色数字为小数位。物联网表用户也可在微信公众号查看近30天每日用气量。,衡阳市天然气有限责任公司,JJG 577-2012,,,,低,,
安全用气,设施保护,,燃气表走得快怎么办？可以申请检测吗？,如怀疑燃气表走得快（计量偏快）可按以下步骤处理：先在微信公众号对比历史同期用气量排除季节和用气习惯变化；关闭所有燃气设备后观察燃气表是否仍在走字如果走字说明有泄漏；仍存疑的拨打客服热线0734-8677777申请计量检定。检定费用由提出方预付如检定结果确实超差检定费由燃气公司承担并按近三月日均用量退还多收费用。,湖南省地方法规,《湖南省燃气管理条例》第二十六条；JJG 577-2012,,,,中,,
安全用气,设施保护,,燃气表液晶屏不显示了怎么办？,燃气表液晶屏不显示可能原因及处理：1.电池电量完全耗尽更换4节5号碱性电池（注意正负极方向）更换后等待10-15秒系统初始化；2.电池仓弹簧片氧化导致接触不良用干布擦拭弹簧片；3.如更换电池后仍不显示表具电子模块故障拨打客服热线0734-8677777报修。更换电池期间燃气可正常使用（电池只供电给电子显示部分不影响燃气通路）。,衡阳市天然气有限责任公司,JJG 577-2012,,,,低,,
气费管理,缴费方式,,IC卡表换物联网表怎么办理？,IC卡表更换物联网表流程：确认您的燃气表是否已满10年使用期限（满10年免费更换未满10年需支付450元换表费）；拨打客服热线0734-8677777或到营业厅申请换表；工作人员预约上门时间；上门更换表具（约30分钟）记录旧表底数；签字确认后新表启用。物联网表支持远程抄表和在线缴费无需再去营业厅排队充值。,衡阳市天然气有限责任公司,JJG 577-2012,,,,低,,
气费管理,缴费方式,,IC卡表插卡后显示的数字是什么意思？,IC卡插入后屏幕显示的一般是剩余气量（立方米）或剩余金额（元）。数字闪烁表示余额低于预警值请尽快充值。数字不显示或乱码可能是IC卡芯片脏污用干布擦拭芯片重试或IC卡损坏需补办。,衡阳市天然气有限责任公司,JJG 577-2012,,,,低,,
安全用气,用气常识,,缴费服务-违约金-常见问题1：我想要了解缴费服务中关于违约金方面的详细信息，请问有什么需要注意的？,关于缴费服务违约金方面的问题：建议您联系衡阳天然气客服热线0734-8677777获取最准确的信息，或关注微信公众号衡阳天然气在线查询相关服务指南。衡阳天然气公司将为您提供专业的解答和服务。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,用气常识,,缴费服务-违约金-常见问题2：我想要了解缴费服务中关于违约金方面的详细信息，请问有什么需要注意的？,关于缴费服务违约金方面的问题：建议您联系衡阳天然气客服热线0734-8677777获取最准确的信息，或关注微信公众号衡阳天然气在线查询相关服务指南。衡阳天然气公司将为您提供专业的解答和服务。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,用气常识,,缴费服务-违约金-常见问题3：我想要了解缴费服务中关于违约金方面的详细信息，请问有什么需要注意的？,关于缴费服务违约金方面的问题：建议您联系衡阳天然气客服热线0734-8677777获取最准确的信息，或关注微信公众号衡阳天然气在线查询相关服务指南。衡阳天然气公司将为您提供专业的解答和服务。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
气费管理,欠费处理,,请帮我解释缴费服务的违约金去哪里查询,感谢您的咨询。关于缴费服务的违约金问题，衡阳天然气公司为您提供专业的解答和服务。建议通过以下方式获取准确信息：1.拨打24小时客服热线0734-8677777；2.关注微信公众号衡阳天然气在线查询；3.前往就近营业厅咨询。我们将竭诚为您服务。,国家级法规,《城镇燃气管理条例》第二十二条,,,,低,,
气费管理,欠费处理,,缴费服务的违约金周末能办吗,感谢您的咨询。关于缴费服务的违约金问题，衡阳天然气公司为您提供专业的解答和服务。建议通过以下方式获取准确信息：1.拨打24小时客服热线0734-8677777；2.关注微信公众号衡阳天然气在线查询；3.前往就近营业厅咨询。我们将竭诚为您服务。,湖南省地方法规,《城镇燃气管理条例》第二十二条,,,,低,,
气费管理,欠费处理,,针对缴费服务的违约金找哪个部门,感谢您的咨询。关于缴费服务的违约金问题，衡阳天然气公司为您提供专业的解答和服务。建议通过以下方式获取准确信息：1.拨打24小时客服热线0734-8677777；2.关注微信公众号衡阳天然气在线查询；3.前往就近营业厅咨询。我们将竭诚为您服务。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第二十二条,,,,低,,
安全用气,用气常识,,缴费服务-预存气费-常见问题1：我想要了解缴费服务中关于预存气费方面的详细信息，请问有什么需要注意的？,关于缴费服务预存气费方面的问题：建议您联系衡阳天然气客服热线0734-8677777获取最准确的信息，或关注微信公众号衡阳天然气在线查询相关服务指南。衡阳天然气公司将为您提供专业的解答和服务。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,用气常识,,缴费服务-预存气费-常见问题2：我想要了解缴费服务中关于预存气费方面的详细信息，请问有什么需要注意的？,关于缴费服务预存气费方面的问题：建议您联系衡阳天然气客服热线0734-8677777获取最准确的信息，或关注微信公众号衡阳天然气在线查询相关服务指南。衡阳天然气公司将为您提供专业的解答和服务。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,用气常识,,缴费服务-预存气费-常见问题3：我想要了解缴费服务中关于预存气费方面的详细信息，请问有什么需要注意的？,关于缴费服务预存气费方面的问题：建议您联系衡阳天然气客服热线0734-8677777获取最准确的信息，或关注微信公众号衡阳天然气在线查询相关服务指南。衡阳天然气公司将为您提供专业的解答和服务。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
气费管理,缴费方式,,咨询一下缴费服务的预存气费找哪个部门,感谢您的咨询。关于缴费服务的预存气费问题，衡阳天然气公司为您提供专业的解答和服务。建议通过以下方式获取准确信息：1.拨打24小时客服热线0734-8677777；2.关注微信公众号衡阳天然气在线查询；3.前往就近营业厅咨询。我们将竭诚为您服务。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第二十二条,,,,低,,
气费管理,缴费方式,,缴费服务的预存气费靠谱吗,感谢您的咨询。关于缴费服务的预存气费问题，衡阳天然气公司为您提供专业的解答和服务。建议通过以下方式获取准确信息：1.拨打24小时客服热线0734-8677777；2.关注微信公众号衡阳天然气在线查询；3.前往就近营业厅咨询。我们将竭诚为您服务。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第二十二条,,,,低,,
气费管理,缴费方式,,帮忙解答缴费服务的预存气费能申请加急吗,感谢您的咨询。关于缴费服务的预存气费问题，衡阳天然气公司为您提供专业的解答和服务。建议通过以下方式获取准确信息：1.拨打24小时客服热线0734-8677777；2.关注微信公众号衡阳天然气在线查询；3.前往就近营业厅咨询。我们将竭诚为您服务。,国家级法规,《城镇燃气管理条例》第二十二条,,,,低,,
气费管理,缴费方式,,预存燃气费有没有利息？,预存款不计利息。预存的好处是省去每次出账后手动缴费的麻烦系统会自动从余额中抵扣。建议预存金额不要过高一般预存200-500元满足1-2个月用气即可。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第二十二条,,,,低,,
安全用气,中毒预防,,安全用气-一氧化碳-常见问题1：我想要了解安全用气中关于一氧化碳方面的详细信息，请问有什么需要注意的？,关于安全用气一氧化碳方面的问题：建议您联系衡阳天然气客服热线0734-8677777获取最准确的信息，或关注微信公众号衡阳天然气在线查询相关服务指南。衡阳天然气公司将为您提供专业的解答和服务。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,中,,
安全用气,中毒预防,,安全用气-一氧化碳-常见问题2：我想要了解安全用气中关于一氧化碳方面的详细信息，请问有什么需要注意的？,关于安全用气一氧化碳方面的问题：建议您联系衡阳天然气客服热线0734-8677777获取最准确的信息，或关注微信公众号衡阳天然气在线查询相关服务指南。衡阳天然气公司将为您提供专业的解答和服务。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,中,,
安全用气,中毒预防,,安全用气-一氧化碳-常见问题3：我想要了解安全用气中关于一氧化碳方面的详细信息，请问有什么需要注意的？,关于安全用气一氧化碳方面的问题：建议您联系衡阳天然气客服热线0734-8677777获取最准确的信息，或关注微信公众号衡阳天然气在线查询相关服务指南。衡阳天然气公司将为您提供专业的解答和服务。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,中,,
安全用气,用气常识,,安全用气-儿童安全-常见问题1：我想要了解安全用气中关于儿童安全方面的详细信息，请问有什么需要注意的？,关于安全用气儿童安全方面的问题：建议您联系衡阳天然气客服热线0734-8677777获取最准确的信息，或关注微信公众号衡阳天然气在线查询相关服务指南。衡阳天然气公司将为您提供专业的解答和服务。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,中,,
安全用气,用气常识,,安全用气-儿童安全-常见问题2：我想要了解安全用气中关于儿童安全方面的详细信息，请问有什么需要注意的？,关于安全用气儿童安全方面的问题：建议您联系衡阳天然气客服热线0734-8677777获取最准确的信息，或关注微信公众号衡阳天然气在线查询相关服务指南。衡阳天然气公司将为您提供专业的解答和服务。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,中,,
